Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Poses,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Indoor Rowing,2023-06-27 08:30:20,False,Indoor Rowing,--,359,00:22:13,170,185,3.2,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,518,0,0,0,--,0:00,78.8,0:00,No,22:13.41,1,84.2,35,22,42,--,--,--,--,00:00:00,00:22:13,--,--
Strength Training,2023-06-26 13:16:00,False,Strength,0.00,145,00:27:29,101,116,0.4,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,4,1,0:00,82.4,0:00,No,27:29.36,1,87.8,--,--,--,--,--,--,--,00:27:29,00:27:29,--,--
Indoor Rowing,2023-06-26 08:52:05,False,Indoor Rowing,--,916,01:18:11,147,172,3.4,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1415,0,0,0,--,0:00,77.0,0:00,No,01:18:11.26,1,86.0,30,14,40,--,--,--,--,00:00:00,01:18:11,--,--
Breathwork,2023-06-25 10:50:07,False,Test HRV,--,--,00:03:00.2,72,72,0.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,86.0,0:00,No,03:00.16,1,86.0,4,4,15,--,--,--,--,00:00:00,00:03:00.2,--,--
Running,2023-06-25 08:33:39,False,Stonington Running,3.92,580,00:40:46,162,179,3.2,149,163,10:24,7:53,189,168,1.04,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,77.0,0:00,No,09:30.67,4,80.6,33,22,43,--,--,--,--,00:40:30,00:44:29,43,130
Indoor Rowing,2023-06-25 07:32:27,False,Indoor Rowing,--,695,00:50:21,153,168,3.3,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1003,0,0,0,--,0:00,78.8,0:00,No,50:21.15,1,84.2,34,13,45,--,--,--,--,00:00:00,00:50:21,--,--
Indoor Cycling,2023-06-23 09:48:06,False,Indoor Cycling,0.00,"1,769",02:15:31,151,181,4.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,75.2,0:00,No,02:15:30.84,1,87.8,33,19,43,--,--,--,--,00:00:00,02:34:28,--,--
Strength Training,2023-06-22 12:34:32,False,Strength,0.00,--,00:00:02.1,0,0,0.0,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,--,1,0:00,80.6,0:00,No,00:02.12,1,80.6,--,--,--,--,--,--,--,00:00:02.1,00:00:02.1,--,--
Running,2023-06-21 12:48:48,False,Stonington Running,5.02,722,00:47:48,163,183,3.5,152,166,9:31,6:54,210,201,1.11,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,78.8,0:00,No,00:10.43,6,86.0,34,22,43,--,--,--,--,00:47:41,00:51:05,31,115
Indoor Rowing,2023-06-20 12:01:07,False,Indoor Rowing,--,577,00:36:30,171,195,3.8,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,746,0,0,0,--,0:00,78.8,0:00,No,36:29.63,1,84.2,39,20,51,--,--,--,--,00:00:00,00:48:14,--,--
Indoor Rowing,2023-06-19 11:22:34,False,Indoor Rowing,--,"1,140",01:27:02,152,168,3.6,--,--,--,--,--,--,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,1752,0,0,0,--,0:00,78.8,0:00,No,01:27:01.77,1,84.2,34,17,46,--,--,--,--,00:00:00,01:38:35,--,--
Multisport,2023-06-18 08:08:30,False,Stonington Multisport,2.01,"1,570",02:01:55,0,183,4.3,--,--,1.0,--,49,46,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,--,0,0,0,--,0:00,0.0,0:00,No,00:00.00,2,0.0,--,--,--,--,--,--,--,00:00:00,02:08:32,63,136
