Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Poses,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Yoga,2023-08-07 13:39:47,false,"Yoga","--","2","00:00:32.1","93","96","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","86.0","0:00","No","00:32.09","1","86.0","12","12","14","-6","90","84","87","90","00:00:32.1","00:00:32.1","--","--"
Indoor Rowing,2023-08-07 08:47:12,false,"Indoor Rowing","--","1,037","01:25:20","150","163","3.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1885","0","0","0","--","0:00","80.6","0:00","No","01:25:19.98","1","84.2","30","16","49","--","--","--","--","--","00:00:00","01:25:20","--","--"
Yoga,2023-08-06 11:40:43,false,"Yoga","--","2","00:12:26","72","74","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","82.4","0:00","No","12:25.100","1","86.0","16","12","19","--","--","--","--","--","00:12:26","00:12:26","--","--"
Indoor Rowing,2023-08-06 10:55:35,false,"Indoor Rowing","--","591","00:44:09","149","163","2.8","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","883","0","0","0","--","0:00","80.6","0:00","No","44:08.85","1","84.2","33","17","43","--","--","--","--","--","00:00:00","00:44:09","--","--"
Indoor Rowing,2023-08-05 09:16:03,false,"Indoor Rowing","--","688","01:04:06","150","188","3.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1081","0","0","0","--","0:00","80.6","0:00","No","01:04:06.28","1","84.2","30","14","39","--","--","--","--","--","00:00:00","01:04:06","--","--"
Indoor Rowing,2023-08-04 08:26:12,false,"Indoor Rowing","--","822","01:06:39","149","165","2.9","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1426","0","0","0","--","0:00","80.6","0:00","No","01:06:39.20","1","84.2","28","16","39","--","--","--","--","--","00:00:00","01:06:39","--","--"
Indoor Cycling,2023-08-03 12:43:12,false,"Indoor Cycling","0.00","386","00:27:23","148","171","2.6","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","86.0","0:00","No","27:22.69","1","89.6","33","12","42","--","--","--","--","--","00:00:00","00:27:23","--","--"
Indoor Cycling,2023-08-03 08:15:06,false,"Indoor Cycling","0.00","1,448","02:22:54","136","165","3.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","75.2","0:00","No","02:22:54.43","1","95.0","29","14","40","--","--","--","--","--","00:00:00","03:19:52","--","--"
Yoga,2023-08-02 14:49:31,false,"Yoga","--","--","00:00:04.2","83","83","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","87.8","0:00","No","00:04.20","1","87.8","--","--","--","--","--","--","--","--","00:00:04.2","00:00:04.2","--","--"
Strength Training,2023-08-02 14:11:05,false,"Strength","0.00","169","00:38:07","92","109","0.1","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","6","1","0:00","80.6","0:00","No","38:07.02","1","87.8","--","--","--","--","--","--","--","--","00:38:07","00:38:07","--","--"
Running,2023-08-02 07:46:05,false,"Groton Running","5.01","710","00:40:55","180","190","4.1","157","170","8:10","6:50","119","115","1.26","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","77.0","0:00","No","00:02.80","6","84.2","38","24","47","--","--","--","--","--","00:40:47","00:41:15","8","43"
Indoor Rowing,2023-08-01 08:20:16,false,"Indoor Rowing","--","881","01:06:00","159","183","3.5","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","1272","0","0","0","--","0:00","80.6","0:00","No","01:06:00.34","1","84.2","31","14","45","--","--","--","--","--","00:00:00","01:06:00","--","--"
Yoga,2023-07-31 14:31:54,false,"Yoga","--","20","00:06:53.8","83","99","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","--","1","0:00","80.6","0:00","No","06:53.81","1","82.4","18","12","21","-11","90","79","67","90","00:06:53.8","00:06:53.8","--","--"
Strength Training,2023-07-31 13:59:46,false,"Strength","0.00","149","00:31:44","93","125","0.2","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","13","1","0:00","80.6","0:00","No","31:43.98","1","87.8","--","--","--","--","--","--","--","--","00:31:44","00:31:44","--","--"
